"","US Population","Cost per Birth","Children Born","Total Endowment Program Cost","Tax Rate"
"1989",246819000,"$29,137",4158212,"$121,159,538,800","1.79439%"
"1990",249623000,"$29,137",4158212,"$121,159,538,800","1.91144%"
"1991",252981000,"$29,137",4110907,"$119,781,193,496","2.01780%"
"1992",256514000,"$29,137",4065014,"$118,443,990,219","1.91114%"
"1993",259919000,"$29,137",4000240,"$116,556,643,454","1.74981%"
"1994",263126000,"$29,137",3952767,"$115,173,403,065","1.55493%"
"1995",266278000,"$29,137",3899589,"$113,623,933,736","1.28227%"
"1996",269394000,"$29,137",3891494,"$113,388,066,381","1.23060%"
"1997",272657000,"$29,137",3880894,"$113,079,209,807","1.10483%"
"1998",275854000,"$29,137",3941553,"$114,846,656,119","1.09271%"
"1999",279040000,"$29,137",3959417,"$115,367,166,858","1.07343%"
"2000",282162411,"$29,137",4058814,"$118,263,338,261","0.98725%"
"2001",284968955,"$29,137",4025933,"$117,305,270,996","0.97317%"
"2002",287625193,"$29,137",4021726,"$117,182,689,901","0.99941%"
"2003",290107933,"$29,137",4089950,"$119,170,560,740","0.95462%"
"2004",292805298,"$29,137",4112052,"$119,814,555,834","0.83308%"
"2005",295516599,"$29,137",4138349,"$120,580,782,373","0.84417%"
"2006",298379912,"$29,137",4265555,"$124,287,236,083","0.80253%"
"2007",301231207,"$29,137",4316233,"$125,763,861,879","0.75299%"
"2008",304093966,"$29,137",4247694,"$123,766,812,756","0.88881%"
"2009",306771529,"$29,137",3932181,"$114,573,580,288","0.89920%"
"2010",309321666,"$29,137",3791712,"$110,480,677,075","0.71092%"
"2011",311556874,"$29,137",4130665,"$120,356,890,495","0.83841%"
"2012",313830990,"$29,137",3999386,"$116,531,760,103","0.78014%"
"2013",315993715,"$29,137",3978497,"$115,923,108,691","0.68754%"
"2014",318301008,"$29,137",3953590,"$115,197,383,155","0.65793%"
"2015",320635163,"$29,137",3952841,"$115,175,559,233","0.56633%"
"2016",322941311,"$29,137",3988076,"$116,202,215,967","0.47828%"
"2017",324985539,"$29,137",3945875,"$114,972,588,017","0.53840%"
"2018",326687501,"$29,137",3855500,"$112,339,294,351","0.52503%"
"2019",328239523,"$29,137",3747540,"$109,193,619,285","0.50926%"
