"","Median All - Observed","Median White - Observed","Median Black - Observed","Median All - Simulated Post-Tax","Median White - Simulated Post-Tax","Median Black - Simulated Post-Tax","Median All - Simulated Post-Tax & Transfer","Median White - Simulated Post-Tax & Transfer","Median Black - Simulated Post-Tax & Transfer"
"1989","$93,600","$143,563","$8,552","$93,600","$143,563","$8,552","$95,271","$143,583","$15,716"
"1992","$88,849","$124,603","$17,698","$88,670","$124,603","$17,913","$90,637","$125,318","$23,654"
"1995","$96,486","$128,203","$18,229","$96,403","$128,170","$18,362","$100,676","$130,323","$26,327"
"1998","$112,769","$149,541","$24,378","$112,596","$149,101","$24,378","$116,302","$152,561","$32,400"
"2001","$125,273","$175,474","$27,614","$124,926","$175,041","$27,657","$129,938","$183,201","$38,272"
"2004","$126,214","$185,390","$27,792","$125,929","$184,590","$27,683","$133,142","$190,745","$39,796"
"2007","$149,364","$201,481","$21,108","$148,105","$201,210","$21,108","$155,894","$207,452","$37,425"
"2010","$90,725","$145,372","$18,345","$90,136","$143,546","$18,345","$100,151","$151,700","$35,406"
"2013","$89,391","$147,407","$12,113","$88,842","$146,386","$12,080","$97,660","$155,501","$26,795"
"2016","$103,475","$173,118","$17,336","$102,847","$171,607","$17,336","$110,378","$180,116","$35,932"
"2019","$121,760","$181,440","$20,730","$120,190","$180,380","$20,730","$128,400","$188,350","$44,670"
